iter	Passed	Remaining
418	3495	675
419	3503	667
420	3512	659
421	3520	650
422	3529	642
423	3537	634
424	3545	625
425	3553	617
426	3560	608
427	3568	600
428	3577	592
429	3585	583
430	3593	575
431	3601	566
432	3614	559
433	3621	550
434	3629	542
435	3637	533
436	3645	525
437	3653	517
438	3662	508
439	3670	500
440	3678	492
441	3686	483
442	3694	475
443	3702	466
444	3710	458
445	3718	450
446	3727	441
447	3735	433
448	3743	425
449	3751	416
450	3759	408
451	3767	400
452	3775	391
453	3783	383
454	3791	375
455	3800	366
456	3808	358
457	3817	350
458	3825	341
459	3833	333
460	3842	325
461	3851	316
462	3859	308
463	3867	300
464	3875	291
465	3884	283
466	3892	275
467	3901	266
468	3910	258
469	3918	250
470	3926	241
471	3933	233
472	3942	225
473	3950	216
474	3958	208
475	3966	200
476	3974	191
477	3982	183
478	3990	174
479	3999	166
480	4008	158
481	4017	150
482	4024	141
483	4033	133
484	4041	124
485	4049	116
486	4057	108
487	4065	99
488	4074	91
489	4081	83
490	4089	74
491	4098	66
492	4106	58
493	4116	50
494	4125	41
495	4133	33
496	4141	24
497	4149	16
498	4157	8
499	4166	0
