iter	MAPE
0	0.2216697427
1	0.2155316444
2	0.2095225413
3	0.2040945905
4	0.1989864837
5	0.1942590824
6	0.1896814836
7	0.185642202
8	0.1818126098
9	0.1781384837
10	0.1747468789
11	0.1714509614
12	0.1685102791
13	0.1656572199
14	0.1628687621
15	0.1604763979
16	0.1581077634
17	0.1558359417
18	0.1537104082
19	0.1518785078
20	0.1502020442
21	0.1484250627
22	0.146780255
23	0.1452785622
24	0.1438376443
25	0.1424331053
26	0.1411664807
27	0.1400829627
28	0.1388955847
29	0.1377845474
30	0.1369215571
31	0.1360219912
32	0.1352167493
33	0.1343888247
34	0.1336880158
35	0.132906678
36	0.1321194865
37	0.1315690355
38	0.1308972439
39	0.1302610491
40	0.1297140271
41	0.1291651682
42	0.128622497
43	0.1281238756
44	0.1276272647
45	0.1271634255
46	0.126739827
47	0.1263046618
48	0.1258995733
49	0.125491347
50	0.1250680944
51	0.124706282
52	0.1243962863
53	0.1240811172
54	0.1237280517
55	0.1233218103
56	0.1230299494
57	0.1227060638
58	0.1224612502
59	0.1221871653
60	0.1219016637
61	0.1216796132
62	0.1214530173
63	0.1212186997
64	0.1209858886
65	0.1207478562
66	0.1205627487
67	0.1203541292
68	0.1201796131
69	0.1200148874
70	0.1197079669
71	0.1195165375
72	0.1193413901
73	0.1191634148
74	0.1190020169
75	0.1188468974
76	0.118715141
77	0.1184640112
78	0.1183338627
79	0.1181961141
80	0.1180557077
81	0.1179630743
82	0.1178327711
83	0.1176920527
84	0.1175691104
85	0.1174520659
86	0.1172859826
87	0.1171501647
88	0.11702663
89	0.1169026805
90	0.1168242421
91	0.1166778636
92	0.116559091
93	0.1164504281
94	0.1163298811
95	0.1162267703
96	0.1161243405
97	0.1160318008
98	0.1159481018
99	0.1158614024
100	0.1157658373
101	0.1156483714
102	0.1155212994
103	0.1154395806
104	0.1153928244
105	0.1153037363
106	0.1152416404
107	0.1151523181
108	0.1150756552
109	0.1149914845
110	0.1149206831
111	0.1148546811
112	0.1147808881
113	0.1147249161
114	0.1146601622
115	0.114605546
116	0.1145156738
117	0.1144515091
118	0.114364456
119	0.1142985179
120	0.1141891145
121	0.1141271134
122	0.1140782263
123	0.1140330116
124	0.1139466997
125	0.1138708927
126	0.1138218611
127	0.1137617315
128	0.1136887707
129	0.1136562056
130	0.113591574
131	0.1135366435
132	0.1134562798
133	0.1134004963
134	0.1133490935
135	0.1132878037
136	0.1132388758
137	0.1131762346
138	0.1131134342
139	0.1130610204
140	0.1130087262
141	0.1129749382
142	0.1129186919
143	0.1128715126
144	0.1128329798
145	0.1127997998
146	0.1127393807
147	0.1126751884
148	0.1126298928
149	0.112573482
150	0.1125243153
151	0.1124656386
152	0.1124060528
153	0.1123450737
154	0.1122760017
155	0.1122192767
156	0.112175669
157	0.1121139641
158	0.1120758669
159	0.1120545494
160	0.1120047866
161	0.1119643719
162	0.111909378
163	0.1118391537
164	0.1118057843
165	0.1117751542
166	0.1117331626
167	0.111699695
168	0.1116516201
169	0.1116003724
170	0.1115499252
171	0.111511431
172	0.1114864098
173	0.1114401581
174	0.1113969427
175	0.1113698256
176	0.1113532794
177	0.1113085352
178	0.1112593765
179	0.1112281241
180	0.1111939637
181	0.1111511731
182	0.111123097
183	0.1110879087
184	0.1110592452
185	0.1110210131
186	0.1109848147
187	0.1109441718
188	0.1109094367
189	0.110861381
190	0.1108431569
191	0.1108105723
192	0.1107853024
193	0.1107577996
194	0.1107259555
195	0.110675237
196	0.1106301459
197	0.1106013815
198	0.1105667099
199	0.1105372342
200	0.1104869989
201	0.1104578437
202	0.1104219334
203	0.1103676888
204	0.1103418471
205	0.110304822
206	0.1102727237
207	0.1102480828
208	0.1102250011
209	0.1101991239
210	0.110170484
211	0.1101315243
212	0.1101072626
213	0.1100772831
214	0.1100342388
215	0.1099918744
216	0.1099511659
217	0.1099157125
218	0.1098835847
219	0.1098580911
220	0.1098386876
221	0.1098048648
222	0.1097681965
223	0.1097352549
224	0.1097009533
225	0.1096781654
226	0.1096513672
227	0.1096191806
228	0.1095560203
229	0.1095211004
230	0.1094839569
231	0.1094308017
232	0.109410837
233	0.109370992
234	0.1093335163
235	0.1092926131
236	0.1092553356
237	0.1092298801
238	0.1092048987
239	0.1091644256
240	0.109124234
241	0.1090901785
242	0.109056236
243	0.10901509
244	0.108979477
245	0.1089501143
246	0.1089170892
247	0.1088899645
248	0.1088608836
249	0.1088198038
250	0.108785633
251	0.1087555772
252	0.1087207037
253	0.1086877227
254	0.1086502765
255	0.1086225485
256	0.1085940761
257	0.1085664807
258	0.1085310954
259	0.108505819
260	0.1084753994
261	0.1084495292
262	0.1084237827
263	0.1083897973
264	0.10836227
265	0.1083269337
266	0.1082886703
267	0.1082631535
268	0.1082324907
269	0.1081916888
270	0.1081570069
271	0.1081265161
272	0.1080895154
273	0.1080633495
274	0.1080238193
275	0.1079941221
276	0.1079569645
277	0.1079199244
278	0.1078978793
279	0.107866698
280	0.1078281091
281	0.1077971319
282	0.1077676976
283	0.1077421522
284	0.1076966012
285	0.1076689263
286	0.1076370782
287	0.1076039361
288	0.107570716
289	0.1075426214
290	0.1075192305
291	0.1074940749
292	0.1074687066
293	0.1074269015
294	0.1073905722
295	0.1073553162
296	0.1073261891
297	0.1072951881
298	0.1072645693
299	0.1072429941
300	0.1072028999
301	0.1071747087
302	0.1071455942
303	0.1071088452
304	0.1070894614
305	0.1070629994
306	0.1070350399
307	0.1070098081
308	0.1069756399
309	0.1069472897
310	0.1069207433
311	0.1068934244
312	0.1068567987
313	0.1068328877
314	0.1068107244
315	0.1067838631
316	0.1067586361
317	0.1067198461
318	0.1066898861
319	0.1066618529
320	0.1066359133
321	0.1066128746
322	0.1065920269
323	0.1065692743
324	0.1065445301
325	0.1065211496
326	0.1064948168
327	0.1064689641
328	0.106445016
329	0.1064184241
330	0.1063947266
331	0.1063691892
332	0.106349717
333	0.1063288276
334	0.1063044764
335	0.1062801042
336	0.1062532075
337	0.1062287173
338	0.1062056324
339	0.1061814312
340	0.1061635793
341	0.1061352962
342	0.1061132345
343	0.1060860865
344	0.1060582783
345	0.1060389756
346	0.1060152662
347	0.1059951361
348	0.105973148
349	0.1059485493
350	0.1059191504
351	0.1058989505
352	0.1058735711
353	0.1058466513
354	0.1058221871
355	0.1057951827
356	0.1057644279
357	0.1057352305
358	0.1057118708
359	0.1056938423
360	0.1056722088
361	0.1056507391
362	0.1056254396
363	0.1056022547
364	0.105578911
365	0.1055474917
366	0.1055226448
367	0.1054948956
368	0.1054644487
369	0.1054446698
370	0.1054187312
371	0.1053950621
372	0.1053704979
373	0.1053486604
374	0.1053221711
375	0.1053049983
376	0.1052841744
377	0.1052610363
378	0.1052395972
379	0.1052180152
380	0.1051939312
381	0.1051712397
382	0.1051481986
383	0.1051257243
384	0.105104561
385	0.105082707
386	0.105060901
387	0.1050373044
388	0.1050205393
389	0.1050014881
390	0.1049786175
391	0.1049567519
392	0.1049394489
393	0.104917714
394	0.1049021231
395	0.1048826277
396	0.1048677711
397	0.1048474433
398	0.1048210214
399	0.104799164
400	0.1047806277
401	0.1047661492
402	0.1047500979
403	0.1047287354
404	0.104709341
405	0.1046841184
406	0.1046576089
407	0.1046423528
408	0.1046241514
409	0.1046027841
410	0.1045838868
411	0.1045659774
412	0.1045400206
413	0.1045195649
414	0.1045000397
415	0.104477745
416	0.104444994
417	0.1044265758
418	0.1044093885
419	0.1043898445
420	0.1043716523
421	0.1043549845
422	0.1043341362
423	0.1043155369
424	0.1042972126
425	0.1042765513
426	0.1042565192
427	0.104237457
428	0.1042211939
429	0.1041944773
430	0.1041714176
431	0.1041486064
432	0.1041328451
433	0.1041194438
434	0.104103003
435	0.104086413
436	0.1040635839
437	0.1040504802
438	0.1040265594
439	0.1040119467
440	0.1039959462
441	0.1039746471
442	0.1039628954
443	0.1039475708
444	0.1039292127
445	0.1039125817
446	0.103895505
447	0.1038793448
448	0.1038619749
449	0.1038465186
450	0.1038228401
451	0.1038059953
452	0.1037888101
453	0.1037745544
454	0.1037605924
455	0.1037380784
456	0.1037217457
457	0.1036990323
458	0.1036814566
459	0.1036581506
460	0.1036411024
461	0.1036211124
462	0.1036055342
463	0.1035804948
464	0.1035621979
465	0.1035434326
466	0.103531286
467	0.1035127079
468	0.1034957894
469	0.1034793349
470	0.1034559078
471	0.1034342502
472	0.1034162546
473	0.1034048524
474	0.1033904925
475	0.1033712019
476	0.1033564082
477	0.1033372559
478	0.1033189084
479	0.1033019751
480	0.1032859853
481	0.1032691993
482	0.1032496417
483	0.1032283727
484	0.1032088091
485	0.1031859422
486	0.1031658832
487	0.1031467909
488	0.1031286704
489	0.1031095466
490	0.1030922623
491	0.1030758634
492	0.1030597591
493	0.1030446356
494	0.1030301712
495	0.1030028468
496	0.102987077
497	0.1029678544
498	0.1029518657
499	0.1029334678
